agnayaḥ samadṛśyanta | *HV_110.25ab*1304a
agnaye 'gnipate tubhyaṃ | HV_App.I,31.1317a
agnāv agnim ivāhitam | HV_12.6d
agnigarbhās tapomayāḥ | HV_App.I,41.881b
agnicakropamaṃ dīptaṃ | HV_App.I,42B.1162a
agnijihvo darbhalomā | HV_App.I,42.166a
agnijihvo darbhalomā | HV_31.22c
agnidatte bṛhaddurge | HV_App.I,22.78a
agnināgnisamo bhūyaḥ | HV_2.43c
agninā dīpayiṣyāmo | **HV_App.I,18.714**76:3a
agninā prajayā rājā | *HV_21.9*321:4a
agnināśaṃ tatas tu saḥ | HV_App.I,6.66b
agninā saṃpradīptāni | HV_App.I,43.163a
agniputraḥ kumāras tu | HV_3.36a
agniprajvaliteṣu ca | HV_App.I,8.46b
agnibhūto 'gnivarcasām | HV_30.35d
agnim agniḥ praviṣṭas tu | HV_App.I,37.51a
agnim anyaṃ pravartayat | HV_App.I,41.1186b
agnimārutayor gatiḥ | HV_App.I,42.87b
agnimārutayor nāśaṃ | *HV_37.48*518:1a
agnimārutayos tasmin | HV_36.46a
agnimārutasomānāṃ | *HV_112.29*1371:1a
agnim āhavanīyaṃ ca | HV_30.21c
agnir āhavanīyas tu | HV_110.17c
agnir iddha ivābabhau | HV_App.I,42B.2394b
agnir eva yathā bhavet | HV_App.I,37.51b
agnir vā brāhmaṇo vāpi | HV_App.I,29A.374a
agnir vāyujalaṃ bhūmir | HV_App.I,41.865a
agnir vāyuś ca sarvaśaḥ | HV_App.I,41.1395b
agnivarṇasya śīghras tu | *HV_10.77*230:6a
agnivarṇaḥ sudarśanāt | *HV_10.77*230:5b
agniveśyaḥ śamīkaś ca | HV_App.I,24.175a
agniś cakṣur havir jyotiḥ | HV_App.I,41.544a
agniś ca yajamānaś ca | HV_App.I,31.983a
agniṣomātmakaṃ caiva | HV_App.I,37.54a
agniṣṭud atirātraś ca | HV_2.17c
agniṣṭomasya yāgasya | HV_App.I,40.50a
agniṣṭomādayo yajñā | HV_100.77a
agniṣṭomena sa prabhuḥ | HV_App.I,41.1210b
agniṣvāttā iti khyātāḥ | HV_13.24e
agniṣvāttāḥ śrutās tatra | *HV_13.24*250a
agnisūryasamau yudhi | HV_97.9b
agnis tu sarvān ditijān | HV_App.I,42B.2266a
agnihotrakuśeṣv eva | HV_23.105c
agnihotram upāsate | HV_App.I,31.864b
agnihotravratasnātā | HV_App.I,41.1275a
agnihotraṃ prayuñjāno | HV_App.I,31.2093a
agnihotrākulāṃ divyāṃ | HV_App.I,31.80a
agnihotrākule kāle | HV_App.I,31.267a
agnihotrākule kāle | HV_68.11a
agnihotreṣu tapasi | HV_App.I,31.314a
agniṃ jitvā tadā viṣṇur | *HV_110.35ab*1309a
agniṃ daityāḥ parvatāgrair | HV_App.I,41.1704a
agniṃ yamaṃ bhūtapatiṃ | **HV_App.I,41.191**14:3a
agniṃ vāyuṃ ca sarvaśaḥ | HV_App.I,42A.346b
agniṃ vivikṣuḥ kṛṣṇena | *HV_102.20a*1127:13a
agniṃ saṃdhāya dhanuṣi | HV_App.I,43.151a
agniṃ saṃpūjya mādhavaḥ | HV_App.I,31.915b
agniḥ suvarṇasya gurur | HV_42.37a
agnīdhraś cāgnibāhuś ca | HV_7.9a
agnīdhraḥ kāśyapaś caiva | HV_App.I,1.50a
agnīn agniṣv ivāhitān | HV_13.29b
agnīnādhāya sāpatyo | HV_App.I,4.54a
agnīnāṃ vāsudevena | HV_110.23c
agnīn saṃmiśrayām āsur | HV_App.I,26.23a
agnīṣomamayaṃ jagat | HV_30.45d
agnīṣomamayaṃ lokaṃ | HV_39.11a
agnīṣomātmake saṃdhau | HV_68.11c
agner ājyāhutasyeva | HV_App.I,42B.2221a
agner āhavanīyasya | HV_110.13a
agner janma tathā śrutvā | HV_13.57a
agnyabhāve 'psu vā punaḥ | HV_13.67d
agnyarkasadṛśākāraṃ | HV_App.I,31.1471a
agrataś cāstu no vīraḥ | HV_App.I,21.173a
agrataḥ saṃsthitaṃ śarvaṃ | HV_App.I,31.2180a
agrataḥsthitaśaineyaṃ | HV_App.I,31.2765a
agrato jagmur atyarthaṃ | HV_App.I,31.3060a
agrato bhartur eva ca | **HV_App.I,29A.425**5:3b
agrato manujeśvara | HV_App.I,20.535b
agrāhyo 'tha jayo dhruvaḥ | HV_App.I,41.626b
agre khurābhyām āhṛtya | HV_App.I,12.159a
agrebhujaṃ somabhujaṃ | HV_31.9c
agresaram amaṃsta saḥ | *HV_70.28*792:3b
aghastād vasudhātale | HV_App.I,42B.2915b
aghastān nāgarājāya | HV_App.I,42B.2964a
aghaṃ niḥśeṣam abhavat | HV_App.I,31.3140a
aṅkuśaṃ caiva ciccheda | *HV_44.50*557a
aṅke paramanārīṇāṃ | HV_App.I,40.73a
aṅkolodumbarāś caiva | **HV_App.I,42A.130**13:2a
aṅgajena mayūrāṇām | HV_47.44c
aṅgadaḥkulavardhanaḥ | *HV_23.40*357b
aṅgadī kuṇḍalī tūṇī | HV_App.I,31.1589a
aṅgadena ca bhāsvatā | HV_47.44d
aṅgadair api maṇḍitāḥ | HV_App.I,29B.212b
aṅganās tā janārdanam | HV_App.I,29D.69b
aṅgaputro gaṇaś cāpi | **HV_App.I,42A.508**42:1a
aṅgaputro mahān āsīd | HV_23.33a
aṅgarājaś ca balavān | HV_80.12c
aṅgavaṅgakaliṅgānām | HV_87.27c
aṅgavaṅgakaliṅgaiśaiḥ | HV_App.I,22A.63a
aṅgavaṅgakaliṅgaiś ca | HV_87.50a
aṅgaṃ sumanasaṃ svātiṃ | HV_2.18c
aṅgaḥ prathamato jajñe | HV_23.29a
aṅgāṅgāny upagṛhyaiva | HV_App.I,41.1636a
aṅgāt sunīthāpatyaṃ vai | HV_2.19a
aṅgānāṃ kulavardhanam | HV_23.40d
aṅgāni ca mahārāja | HV_App.I,22A.32a
aṅgāni cāpy alimpetāṃ | *HV_71.29*811:2a
aṅgān netrān nṛpottama | HV_App.I,31.1674b
aṅgāny upāṅgāni tathā | HV_App.I,24.10a
aṅgān vaṅgān kaliṅgāṃś ca | HV_117.29a
aṅgāramiśrāḥ kruddhasya | HV_App.I,42B.2124a
aṅgāravarṇasikatāṃ | HV_App.I,41.1480a
aṅgārasetus tatputro | HV_23.130c
aṅgārasya tu dāyādo | HV_23.132a
aṅgāvayavaśāḍvalā | HV_App.I,42B.2010b
aṅgirā nabhasaḥ satyaḥ | HV_App.I,1.15a
aṅgirāś ca vasiṣṭhaś ca | *HV_12.13*239:2a
aṅgirāś cārudhiṣṇyaś ca | HV_App.I,1.24a
aṅgirāś caiva dhṛtimān | HV_App.I,1.40a
aṅgirās tapasomūrtis | HV_App.I,1.32a
aṅgirāḥ pulahaḥ kratuḥ | HV_7.7b
aṅgulyodaradeśe tu | HV_App.I,29C.18a
aṅguṣṭhamātraṃ puruṣam | HV_12.6c
aṅguṣṭham āsye nikṣipya | *HV_50.5ab*631:1a
aṅguṣṭhād dakṣiṇād dakṣa | HV_App.I,42.337a
aṅguṣṭhād brahmaṇo jāto | HV_2.51a
aṅgeṣv ābharaṇaṃ caiva | HV_App.I,20.976a
aṅgopakāravedī ca | HV_App.I,6A.19a
acandrārkagrahā bhūmir | HV_114.18a
acarāṃś ca carāṃś caiva | HV_2.46c
acalam caiva purataḥ | HV_2.11c
acalaṃ sthānam āsādya | HV_App.I,41.1699a
acalād acalatvaṃ ca | HV_App.I,41.695a
acalā prāṇināṃ yonir | HV_58.44c
acalāṃ dvādaśāyatām | HV_93.27b
acalenaiva bhāvena | HV_App.I,41.914a
acalo 'yaṃ śilāyoniḥ | HV_App.I,18.668a
acintayac ca tattvārthaṃ | HV_106.53c
acintayac ca sā devī | HV_App.I,22.35a
acintayac ca sā devī | *HV_87.39*1003:2a
acintayaj jagannāthaḥ | HV_App.I,31.643a
acintayaj jagannāthaḥ | HV_App.I,31.1906a
acintayat tadākrūro | *HV_68.17ab*780:2a
acintayad aninditaḥ | HV_App.I,29B.129b
acintayan devagaṇān | *HV_106.6*1148:23a
acintayann andhakasya | HV_App.I,29C.62a
acintayaṃ tadā viṣṇo | HV_App.I,31.1122a
acintayitvā tu śarāñ | HV_App.I,42B.1806a
acintayitvā devendraṃ | HV_97.14c
acintitena kāmānām | HV_App.I,29F.16a
acintyamūrtaye tubhyaṃ | HV_App.I,31.239a
